art_id	art_version	art_full	status	description	method	location	notes	created_by	customer
581	1	581.1	Approved	"SCA Rockstar 4"" x 2.35"""	Screen Print/Heat Transfer		G5R  SCA Future Conservation Rockstar	ncarroll	034240
582	1	582.1	Approved	"Arb Patch 3.5""w x 1.68""h"	Hat Press Heat Press		GDS - PATCH	vrowinsky	003101
583	1	583.1	Approved	"Western Reserve 11"" x 7.3"""	Screen Print/Heat Transfer		TCC	ncarroll	032235
584	1	584.1	Approved	"ALL Crane 3.25""w x 1.55""h"	Embroidery		BWY - HAT	mmintz	031616
586	1	586.1	Approved	Woodman 3.52”w X 0.89”h	Embroidery		BU4	vrowinsky	002121
587	1	587.1	Approved	West Tree 3.5”w X 1.26”h	Embroidery		BU3	vrowinsky	002121
588	1	588.1	Approved	Payne & Tompkins 3.76”w X 1.09	Embroidery		BRV	mmintz	001434
590	1	590.1	Approved	Catts Construction 4.02” X 1”	Embroidery		BN5	vrowinsky	037865
593	1	593.1	Approved	"SAT Beetlebung 3.20”w x 2.01""h"	Embroidery		BIP - HAT	vrowinsky	002398
594	1	594.1	Approved	"Borough 2.79” X 2""h"	Embroidery		BIF - HAT	vrowinsky	012191
595	1	595.1	Approved	"Borough 3.01”w X 0.32""h"	Embroidery		BIG - HAT	vrowinsky	012191
596	1	596.1	Approved	"SAT Alpine T4 3.99”w X 3.07""h"	Embroidery		BIA	vrowinsky	002398
460	1	460.1	Approved	"Growth Solutions 4.66""w x 6.5"""	Screen Print/Heat Transfer		QEL	vrowinsky	001527
461	1	461.1	Approved	Distinctive Tree 3.5”w X 1.28”	Embroidery		BTZ	vrowinsky	002121
462	1	462.1	Approved	SavATree Sussex 3.51”w X 2.36”	Embroidery		BSW	vrowinsky	002398
463	1	463.1	Approved	SAT Charleston 3.75”w X 2.84”h	Embroidery		BFI	vrowinsky	002398
464	1	464.1	Approved	"Safety Professional 3” X 2.58"""	Embroidery		B93	vrowinsky	002127
465	1	465.1	Approved	"DiGeronimo Develop. 4”w X .81"""	Embroidery		B8T	vrowinsky	000949
467	1	467.1	Approved	"Walker Tree Care 2.51” X 2.99"""	Embroidery		BY7	vrowinsky	020284
468	1	468.1	Approved	"Tree Trust Land 4”w X 1.7""h"	Embroidery		B7Y	vrowinsky	001914
469	1	469.1	Approved	"Accent Landscapes 3""w x 1.53""h"	Embroidery		B68	vrowinsky	002121
470	1	470.1	Approved	"EMI 4""w X 1.6""h"	Embroidery		AXM	vrowinsky	019552
471	1	471.1	Approved	"Sky Quest 2.25""w X 1.02""h"	Embroidery		AVN	vrowinsky	012939
472	1	472.1	Approved	"Lowe's Greenhouse 3.75"" X 1.6"""	Embroidery		AUH	vrowinsky	014552
473	1	473.1	Approved	"GOODS TREE CARE 4""w X 1.57""h"	Embroidery		ATC - HAT	vrowinsky	010956
474	1	474.1	Approved	"Philmont Flannel 1.5"" x 1.74"""	Embroidery		AQJ	vrowinsky	001450
475	1	475.1	Approved	"Tree Care Utility 4""w x 2.2""h"	Embroidery		AM9	vrowinsky	001880
476	1	476.1	Approved	"Snow & Sons 3.76""w x 1.2""h"	Embroidery		A9Z	mmintz	001718
478	1	478.1	Approved	Saluting Branches 3.51 x 1.63	Embroidery		A9H	vrowinsky	002165
479	1	479.1	Approved	"Burfords 3.02""w X 3.16""h"	Embroidery		A3A	vrowinsky	002127
480	1	480.1	Approved	"Hartney Greymont 2.08"" x 2.4"""	Embroidery		A5Y - Hat	mmintz	002388
481	1	481.1	Approved	"Bear IC 2.76""w x 2.75""h"	Embroidery		A2W	vrowinsky	000949
482	1	482.1	Approved	Geauga County 3”w X 3”h	Screen Print/Heat Transfer		T4D	mmintz	000761
483	1	483.1	Approved	"Treesmiths 9""w X 2.9""h"	Screen Print/Heat Transfer		STM	mmintz	020619
484	1	484.1	Approved	SavATree 13.5”w X 8.39”h	Screen Print/Heat Transfer		SKI	mmintz	002398
485	1	485.1	Approved	Lawns Unlimited 4.5”w X 2.29”h	Screen Print/Heat Transfer		SDC	mmintz	002398
486	1	486.1	Approved	Walker Tree WTCI 3”w X 2.35”h	Screen Print/Heat Transfer		SD2	mmintz	020284
487	1	487.1	Approved	Walker Tree Care 2.52”w X 3”h	Screen Print/Heat Transfer		SJ2	mmintz	020284
488	1	488.1	Approved	"SavATree Beeltbung 4.5” X 2.7"""	Screen Print/Heat Transfer		SKH	vrowinsky	002398
489	1	489.1	Approved	Walker Tree Care 9.26”w X 11”h	Screen Print/Heat Transfer		SJ3	mmintz	020284
490	1	490.1	Approved	Uribe's Tree 7.55”w X 11”h	Screen Print/Heat Transfer		SB7	mmintz	033391
491	1	491.1	Approved	Bartlett 1.17”w X 1.5”h	Screen Print/Heat Transfer		RYP	mmintz	002385
492	1	492.1	Approved	Jones Tree & Lawn 4”w X 2.33”h	Screen Print/Heat Transfer		RVT	vrowinsky	023530
493	1	493.1	Approved	"Jones Tree & Lawn 9”w X 9""h"	Screen Print/Heat Transfer		RVU	mmintz	023530
494	1	494.1	Approved	"Treeways 3.75""w X 0.97""h"	Screen Print/Heat Transfer		RL4	mmintz	020619
495	1	495.1	Approved	Gunnison 4.02”w X 1.08”h	Embroidery		BU1 - HAT	vrowinsky	002121
496	1	496.1	Approved	"Davey Bag Logo 5.25""w x 1.63""h"	Screen Print/Heat Transfer		RFN	mmintz	002388
497	1	497.1	Approved	"Hi-5 - Tree 6""w X 4.5""h"	Screen Print/Heat Transfer		RJL	mmintz	003101
498	1	498.1	Approved	"ACRT Pacific Icon 2""w x 1.78""h"	Screen Print/Heat Transfer		RDT	vrowinsky	000011
499	1	499.1	Approved	"Hi-5 11""w X 12.2""h"	Screen Print/Heat Transfer		RJM	mmintz	003101
500	1	500.1	Approved	"Hi-5 - Hi Five 2.1""w X 2""h"	Screen Print/Heat Transfer		RJN	mmintz	003101
501	1	501.1	Approved	"Casey Trees 9.5""w X 8""h"	Screen Print/Heat Transfer		RCP	mmintz	000391
502	1	502.1	Approved	"Casey Tree FREE 13""w X 7.3""h"	Screen Print/Heat Transfer		RCZ	vrowinsky	000391
503	1	503.1	Approved	"Ironwood 3.5""w x 1.75""h"	Screen Print/Heat Transfer		RCF	vrowinsky	014905
504	1	504.1	Approved	"CLARENDON HILLS 3.5""w X 0.87""w"	Screen Print/Heat Transfer		RB9	vrowinsky	012958
505	1	505.1	Approved	"Diggable Designs 3.25""w x 3.2"""	Screen Print/Heat Transfer		QQ8	vrowinsky	000584
506	1	506.1	Approved	"Diggable Designs 12""w X 1""h"	Screen Print/Heat Transfer		QQ9	vrowinsky	000584
507	1	507.1	Approved	"Chippers I WILL  2.4""w X 2.5""h"	Screen Print/Heat Transfer		Q39	vrowinsky	002388
508	1	508.1	Approved	"All Terrain 3.5""w x 2.85""h"	Screen Print/Heat Transfer		QLU	vrowinsky	000089
